year,pages_sampled,pages_with_ai_terms,sources_with_ai_terms,sources_covered,ai_term_total,term_ai,term_machine_learning,term_data_science,term_quantitative_research,term_ml_engineer,term_deep_learning,term_python,term_statistical_modeling,avg_ai_terms_per_page,share_with_ai_terms,trend_index
2005,2,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2006,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2007,2,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2008,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2009,1,0,0,1,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2010,2,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2011,2,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2012,2,0,0,2,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2013,3,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2014,3,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2015,3,0,0,3,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2016,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2017,5,0,0,5,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2018,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2019,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2020,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2021,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2022,7,0,0,7,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2023,6,0,0,6,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
2024,7,1,1,7,2,1,0,1,0,0,0,0,0,0.2857142857142857,0.14285714285714285,12.5
2025,7,1,1,7,16,12,2,0,0,0,0,2,0,2.2857142857142856,0.14285714285714285,100.0
